Average_AP,Average_SP,Average_Average_Points,Match_Number,Team_ID,Winner
32.92,573.8,119.6772,122,40093,0
26.46153846153846,495.3076923076923,85.15923076923076,122,155593,0
40.72,519.56,104.37559999999999,123,129791,0
42.2,548.48,116.36320000000002,123,78936,0
28.25,455.0625,82.358125,123,156873,1
36.391304347826086,541.5652173913044,127.65739130434783,123,138786,1
16.555555555555557,242.88888888888889,44.154444444444444,124,38374,1
56.2,671.24,134.06239999999997,124,84097,1
40.04,486.36,97.19439999999999,124,50691,0
45.04,479.84,115.5712,124,64218,0
22.857142857142858,415.07142857142856,67.87642857142858,125,156872,1
32.9,534.5,102.53599999999999,125,153399,1
28.444444444444443,471.0,96.78555555555555,125,159927,0
20.263157894736842,429.7894736842105,89.82210526315792,125,134679,0
51.56,619.0,89.2544,126,83437,1
35.32,501.36,115.6036,126,72998,1
37.94117647058823,458.05882352941177,89.3229411764706,126,113239,0
39.041666666666664,575.9166666666666,119.05125,126,138787,0
19.555555555555557,381.55555555555554,82.13555555555554,127,159925,1
37.13333333333333,399.93333333333334,85.978,127,107689,1
44.2,518.2,131.6044,127,56089,0
31.3,392.8,77.996,127,110526,0
37.578947368421055,549.8947368421053,103.11999999999999,128,140100,0
29.333333333333332,577.8333333333334,105.95333333333333,128,163302,0
35.63636363636363,540.2727272727273,83.29454545454544,128,163443,1
24.36,328.0,63.897999999999996,128,51868,1
24.96,335.56,68.8476,129,62980,0
34.28,421.24,89.74680000000002,129,109305,0
25.0,401.0625,79.420625,129,156870,1
34.96,520.84,127.0772,129,140116,1
19.214285714285715,394.42857142857144,63.105000000000004,130,105385,0
31.142857142857142,379.7142857142857,93.4407142857143,130,133872,0
34.46153846153846,506.7692307692308,95.33384615384617,130,156028,1
28.64,529.08,100.2852,130,93380,1
53.92,586.96,127.2464,131,123261,0
24.533333333333335,431.73333333333335,98.97533333333332,131,155861,0
29.58823529411765,410.0,94.30411764705882,131,144638,1
31.0,497.68,93.12440000000002,131,109359,1
39.2,428.6,101.48066666666668,132,134029,1
38.48,390.12,89.32320000000001,132,100219,1
41.32,504.36,101.64920000000001,132,110896,0
43.7,460.6,107.89299999999999,132,154078,0
47.0,519.16,121.9148,133,141601,0
45.04,484.88,111.58879999999999,133,38959,0
39.4,498.64,109.5816,133,110041,1
33.19047619047619,515.7142857142857,104.6161904761905,133,140966,1
38.6,444.88,85.66160000000002,134,39034,1
28.444444444444443,471.0,96.78555555555555,134,159927,1
36.391304347826086,541.5652173913044,127.65739130434783,134,138786,0
24.08,448.24,98.0372,134,112249,0
34.72,470.68,108.45039999999999,135,99490,0
36.333333333333336,426.0952380952381,88.81142857142856,135,130641,0
51.56,619.0,89.2544,135,83437,1
40.04,486.36,97.19439999999999,135,50691,1
39.041666666666664,575.9166666666666,119.05125,136,138787,0
44.2,518.2,131.6044,136,56089,0
34.22222222222222,608.0,106.34333333333333,136,154568,1
42.2,548.48,116.36320000000002,136,78936,1
38.88,507.8,123.48200000000001,137,66344,0
37.94117647058823,458.05882352941177,89.3229411764706,137,113239,0
29.333333333333332,577.8333333333334,105.95333333333333,137,163302,1
35.44,504.0,106.08359999999999,137,130942,1
42.6,520.52,108.6144,138,130941,1
24.96,335.56,68.8476,138,62980,1
37.578947368421055,549.8947368421053,103.11999999999999,138,140100,0
37.13333333333333,399.93333333333334,85.978,138,107689,0
39.142857142857146,443.92857142857144,100.33642857142857,139,140680,0
31.3,392.8,77.996,139,110526,0
31.142857142857142,379.7142857142857,93.4407142857143,139,133872,1
24.0,402.6666666666667,71.34666666666668,139,162234,1
54.0,621.4,99.20640000000002,140,110370,1
25.56,420.48,83.4972,140,19300,1
40.72,519.56,104.37559999999999,140,129791,0
33.16,616.92,78.49,140,98888,0
29.58823529411765,410.0,94.30411764705882,141,144638,0
16.555555555555557,242.88888888888889,44.154444444444444,141,38374,0
23.5625,332.25,65.91125,141,134681,1
41.31818181818182,402.72727272727275,88.34999999999997,141,82537,1
31.0,497.68,93.12440000000002,142,109359,0
34.8,479.28,102.75399999999999,142,57436,0
34.46153846153846,506.7692307692308,95.33384615384617,142,156028,1
25.0,401.0625,79.420625,142,156870,1
20.263157894736842,429.7894736842105,89.82210526315792,143,134679,1
34.333333333333336,406.7083333333333,83.63041666666665,143,141234,1
19.555555555555557,381.55555555555554,82.13555555555554,143,159925,0
34.96,520.84,127.0772,143,140116,0
32.92,573.8,119.6772,144,40093,0
38.28,506.8,116.00679999999998,144,111002,0
25.96,468.84,91.77720000000001,144,97118,1
39.2,428.6,101.48066666666668,144,134029,1
41.32,504.36,101.64920000000001,145,110896,0
28.64,529.08,100.2852,145,93380,0
39.4,498.64,109.5816,145,110041,1
34.28,421.24,89.74680000000002,145,109305,1
35.63636363636363,540.2727272727273,83.29454545454544,146,163443,1
26.0,356.1666666666667,72.60916666666667,146,141462,1
48.666666666666664,549.3333333333334,111.39625000000001,146,141371,0
32.9,534.5,102.53599999999999,146,153399,0
33.19047619047619,515.7142857142857,104.6161904761905,147,140966,1
